date,symbol,pnl_usd,cumulative_usd
2021-07-01,XBI,71.88,5486.32
2021-07-02,XLI,98.18,5584.5
2021-07-06,HYG,25.83,5610.33
2021-07-06,FXI,10.81,5621.14
2021-07-07,EFA,101.99,5723.13
2021-07-16,GLD,-292.03,5431.1
2021-07-16,VNQ,-43.64,5387.46
2021-07-16,XLB,-109.26,5278.2
2021-07-16,XLRE,-50.69,5227.51
2021-07-16,XLV,-23.16,5204.35
2021-07-16,XLE,-70.8,5133.55
2021-07-16,SLV,-66.11,5067.44
2021-07-16,KRE,-111.28,4956.16
2021-07-23,GDX,19.0,4975.16
2021-07-29,XLF,13.57,4988.73
2021-07-30,SMH,67.58,5056.31
2021-08-05,LQD,92.45,5148.76
2021-08-05,IWM,73.36,5222.12
2021-08-06,TLT,22.45,5244.57
2021-08-06,XLP,28.8,5273.37
2021-08-09,HYG,31.57,5304.94
2021-08-09,XLRE,36.88,5341.82
2021-08-10,XLK,84.69,5426.51
2021-08-13,IEF,43.86,5470.37
2021-08-13,XLY,92.73,5563.1
2021-08-16,AGG,50.24,5613.34
2021-08-16,XLI,109.81,5723.15
2021-08-16,XLE,12.93,5736.08
2021-08-17,EFA,129.26,5865.34
2021-08-17,XLC,115.66,5981.0
2021-08-18,KRE,25.58,6006.58
2021-08-19,XLB,22.72,6029.3
2021-08-20,EEM,-95.93,5933.37
2021-08-20,XLU,-29.56,5903.81
2021-08-20,XLV,-307.15,5596.66
2021-08-20,EWZ,-68.63,5528.03
2021-09-07,EFA,50.22,5578.25
2021-09-13,GLD,59.84,5638.09
2021-09-15,SMH,75.82,5713.91
2021-09-16,XLY,62.7,5776.61
2021-09-20,FXI,9.12,5785.73
2021-09-22,LQD,76.63,5862.36
2021-09-23,XLE,14.67,5877.03
2021-09-27,HYG,38.29,5915.32
2021-09-28,XBI,51.48,5966.8
2021-09-29,SLV,5.44,5972.24
2021-10-05,XLF,23.8,5996.04
2021-10-06,XLI,115.22,6111.26
2021-10-07,XLB,51.89,6163.15
2021-10-07,XLC,106.93,6270.08
2021-10-07,XLK,92.14,6362.22
2021-10-08,KRE,30.99,6393.21
2021-10-12,XLP,43.37,6436.58
2021-10-12,XLRE,50.47,6487.05
2021-10-12,VNQ,72.03,6559.08
2021-10-12,IWM,92.46,6651.54
2021-10-14,XLU,36.68,6688.22
2021-10-15,AGG,-61.41,6626.81
2021-10-15,IEF,-67.92,6558.89
2021-10-15,XLV,-80.76,6478.13
2021-10-15,EWZ,-44.86,6433.27
2021-10-21,QQQ,79.96,6513.23
2021-10-28,GDX,19.15,6532.38
2021-11-08,XLI,48.18,6580.56
2021-11-12,TLT,25.67,6606.23
2021-11-16,IEF,18.59,6624.82
2021-11-18,EWZ,8.93,6633.75
2021-11-29,XLB,39.28,6673.03
2021-11-29,XLP,39.01,6712.04
2021-11-29,XLRE,39.07,6751.11
2021-11-29,XLU,37.85,6788.96
2021-11-29,XLV,106.16,6895.12
2021-11-29,LQD,68.32,6963.44
2021-12-01,XLY,118.92,7082.36
2021-12-03,GLD,117.77,7200.13
2021-12-03,XLK,91.95,7292.08
2021-12-06,VNQ,55.86,7347.94
2021-12-07,EFA,83.28,7431.22
2021-12-07,IWM,113.78,7545.0
2021-12-07,XLF,25.6,7570.6
2021-12-14,GDX,16.14,7586.74
2021-12-15,XLC,120.56,7707.3
2021-12-17,SMH,-139.9,7567.4
2021-12-17,XLE,-61.46,7505.94
2021-12-20,FXI,8.01,7513.95
2021-12-23,DIA,81.98,7595.93
2022-01-04,KRE,36.96,7632.89
2022-01-05,XBI,77.6,7710.49
2022-01-11,XLE,12.71,7723.2
2022-01-18,IWM,72.83,7796.03
2022-01-20,XLC,50.24,7846.27
2022-01-21,AGG,6.57,7852.84
2022-02-02,GLD,100.5,7953.34
2022-02-07,XLF,19.94,7973.28
2022-02-09,XLK,129.76,8103.04
2022-02-09,XLV,103.04,8206.08
2022-02-17,XLP,52.57,8258.65
2022-02-18,QQQ,-350.18,7908.47
2022-02-18,VNQ,-111.17,7797.3
2022-02-18,XLB,-125.86,7671.44
2022-02-18,XLI,-267.33,7404.11
2022-02-18,XLRE,-114.96,7289.15
2022-02-18,XLU,-113.31,7175.84
2022-02-18,XLY,-283.12,6892.72
2022-02-18,SPY,-356.42,6536.3
2022-02-18,EFA,-162.18,6374.12
2022-03-02,XLE,12.53,6386.65
2022-03-03,FXI,8.65,6395.3
2022-03-07,SMH,55.19,6450.49
2022-03-07,XLK,45.92,6496.41
2022-03-10,TLT,27.09,6523.5
2022-03-28,GLD,112.69,6636.19
2022-03-29,XLP,42.28,6678.47
2022-04-11,AGG,15.24,6693.71
2022-04-11,LQD,43.72,6737.43
2022-04-14,GDX,-122.17,6615.26
2022-04-14,XLU,-128.94,6486.32
2022-04-14,XLV,113.5,6599.82
2022-04-20,EEM,16.91,6616.73
2022-04-22,XLF,13.59,6630.32
2022-05-02,TLT,23.03,6653.35
2022-05-06,XLE,15.97,6669.32
2022-05-16,XLP,50.49,6719.81
2022-05-20,EWZ,-70.33,6649.48
2022-05-20,SLV,-64.57,6584.91
2022-05-20,XLB,-90.85,6494.06
2022-05-20,XLRE,-124.84,6369.22
2022-05-20,GDX,-124.77,6244.45
2022-05-20,GLD,-295.65,5948.8
