year,entry_date,exit_date,symbol,structure,exit,holding_days,pop,entry_iv,credit_usd,max_risk_usd,pnl_usd,hold_to_expiry_pnl_usd
2023,2023-07-03,2023-08-15,DIA,iron_condor,target,43,0.513251,0.121901,241.36,258.64,207.72,233.36
2023,2023-07-28,2023-08-31,AGG,iron_condor,target,34,0.548477,0.106098,86.77,113.23,35.69,27.77
2023,2023-07-28,2023-09-15,EEM,iron_condor,expiry,49,0.561594,0.275606,83.55,116.45,-11.45,-11.45
2023,2023-07-28,2023-09-14,EFA,iron_condor,target,48,0.590683,0.21045,176.9,323.1,109.74,106.9
2023,2023-07-28,2023-09-13,EWZ,short_put_spread,target,47,0.708934,0.388509,27.23,72.77,14.74,23.23
2023,2023-07-28,2023-09-11,GLD,iron_condor,target,45,0.527784,0.161353,231.6,268.4,130.08,223.6
2023,2023-07-28,2023-08-29,HYG,iron_condor,target,32,0.581722,0.122496,77.05,122.95,36.8,69.05
2023,2023-07-28,2023-09-15,IEF,iron_condor,expiry,49,0.527121,0.13463,92.89,107.11,-6.11,-6.11
2023,2023-07-28,2023-08-31,LQD,iron_condor,target,34,0.599624,0.156002,172.34,327.66,83.49,101.34
2023,2023-07-28,2023-09-11,QQQ,short_put_spread,target,45,0.688607,0.230915,149.3,350.7,71.34,145.3
2023,2023-07-28,2023-08-04,SPY,short_call_spread,target,7,0.73643,0.1333,122.51,377.49,65.71,118.51
2023,2023-07-28,2023-09-14,VNQ,iron_condor,target,48,0.51829,0.201685,95.25,104.75,58.94,68.25
2023,2023-07-28,2023-09-15,XBI,short_put_spread,expiry,49,0.704859,0.310001,124.71,375.29,-168.29,-168.29
2023,2023-07-28,2023-09-01,XLB,iron_condor,target,35,0.568703,0.22651,80.85,119.15,37.32,58.35
2023,2023-07-28,2023-09-15,XLE,short_call_spread,target,49,0.753133,0.298141,22.95,77.05,18.45,18.45
2023,2023-07-28,2023-08-14,XLF,short_call_spread,target,17,0.792852,0.170655,17.01,82.99,4.81,13.01
2023,2023-07-28,2023-09-01,XLI,iron_condor,target,35,0.580737,0.147857,186.01,313.99,90.16,-121.99
2023,2023-07-28,2023-09-05,XLK,short_put_spread,target,39,0.716716,0.232702,112.58,387.42,65.55,-46.42
2023,2023-07-28,2023-09-15,XLP,iron_condor,expiry,49,0.521629,0.145934,94.3,105.7,-113.7,-113.7
2023,2023-07-28,2023-09-14,XLRE,iron_condor,target,48,0.576484,0.198844,77.04,122.96,50.17,48.04
2023,2023-07-28,2023-09-13,XLU,iron_condor,target,47,0.609482,0.250184,68.63,131.37,43.57,60.63
2023,2023-07-28,2023-08-29,XLV,iron_condor,target,32,0.551937,0.189092,214.37,285.63,109.37,206.37
2023,2023-07-28,2023-08-31,XLY,iron_condor,target,34,0.54836,0.275347,216.22,283.78,109.51,208.22
2023,2023-08-02,2023-09-14,FXI,short_put_spread,target,43,0.621862,0.575616,36.69,63.31,14.76,32.69
2023,2023-08-07,2023-08-15,IWM,short_call_spread,target,8,0.744505,0.222219,113.55,386.45,64.2,109.55
2023,2023-08-07,2023-09-12,TLT,short_put_spread,target,36,0.683835,0.285264,59.72,140.28,36.71,55.72
2023,2023-08-29,2023-10-20,SLV,short_put_spread,expiry,52,0.681836,0.255983,28.18,71.82,-35.82,-35.82
2023,2023-08-29,2023-10-20,SMH,short_put_spread,expiry,52,0.677014,0.342588,151.51,348.49,-342.49,-342.49
2023,2023-08-29,2023-10-06,XLC,iron_condor,target,38,0.585883,0.201503,177.12,322.88,99.6,169.12
2023,2023-08-30,2023-10-20,DIA,iron_condor,expiry,51,0.516852,0.112468,238.94,261.06,-269.06,-269.06
